temperature,humidity,wind_speed,solar_radiation,heat_index,wbgt,utci,vulnerability_score,population_density,hour,day_of_year,heat_exposure_duration,htsi
27.28,89.97,1.99,23.53,31.55,26.39,27.46,72.71,4900.0,6,131,0.0,41.37
35.63,69.69,3.11,452.8,52.53,33.01,36.58,32.07,3100.0,8,124,0.0,54.35
26.78,78.87,2.21,14.28,29.16,24.77,26.85,38.11,4900.0,6,176,0.0,33.13
34.97,65.28,2.78,469.69,47.63,31.92,36.1,69.63,4200.0,8,95,0.0,54.83
32.1,74.03,1.35,203.35,42.26,29.9,33.08,38.4,8500.0,7,157,0.0,46.22
39.69,51.97,4.6,945.08,55.15,34.96,40.76,79.85,9200.0,11,107,1.0,65.47
30.89,83.86,2.38,0.0,41.88,29.27,30.81,42.35,4200.0,1,162,0.0,43.2
27.58,83.37,1.47,11.8,31.5,26.0,27.76,62.87,3100.0,0,118,0.0,39.86
35.26,62.93,3.31,687.12,47.34,32.19,36.67,69.02,4900.0,15,166,5.0,56.98
28.89,81.64,1.62,10.62,34.8,27.11,29.05,37.66,4900.0,22,148,0.0,38.03
28.09,87.54,4.17,0.0,33.6,26.9,27.74,76.3,3100.0,22,136,0.0,42.31
27.39,89.67,2.02,0.0,31.83,26.42,27.43,62.62,4200.0,23,106,0.0,41.18
26.68,83.76,1.11,0.0,29.33,25.14,26.84,37.84,4200.0,4,111,0.0,35.04
27.17,84.07,4.08,0.0,30.55,25.64,26.86,37.97,4900.0,2,157,0.0,33.58
39.71,53.8,5.02,900.85,56.58,35.14,40.48,34.8,3100.0,11,158,1.0,62.45
32.05,74.95,4.75,210.9,42.45,29.71,31.98,77.53,8500.0,7,126,0.0,47.99
29.22,84.2,0.5,13.3,36.38,27.73,29.65,70.37,4200.0,21,138,0.0,44.6
26.0,85.54,1.81,0.0,27.87,24.64,26.06,38.15,4900.0,2,102,0.0,35.0
27.16,81.96,4.83,0.0,30.3,25.42,26.73,47.93,8500.0,0,123,0.0,33.31
29.23,84.43,4.38,21.24,36.47,27.74,28.87,43.31,4200.0,2,175,0.0,40.14
27.86,83.51,1.03,20.57,32.28,26.33,28.19,68.9,4200.0,4,142,0.0,41.55
38.47,56.35,1.79,833.47,54.11,35.04,40.96,46.65,8500.0,14,176,4.0,62.56
36.41,49.96,1.47,923.67,44.17,32.67,39.29,45.55,4200.0,13,140,3.0,57.8
29.56,78.27,1.74,0.0,35.92,27.38,29.61,69.85,4900.0,2,92,0.0,42.2
28.8,81.8,4.47,24.37,34.57,27.05,28.45,59.13,4200.0,0,131,0.0,39.83
27.24,87.0,2.48,0.0,31.06,26.0,27.19,39.86,8500.0,4,121,0.0,36.94
26.18,78.25,2.16,0.0,27.93,24.1,26.17,75.63,3100.0,22,140,0.0,34.92
41.31,44.23,1.76,919.22,54.72,35.95,43.95,70.6,9200.0,13,174,3.0,68.3
27.07,90.3,3.63,6.32,30.96,26.17,26.9,41.96,9200.0,6,135,0.0,35.81
33.55,64.78,2.17,545.65,42.91,30.79,35.15,39.34,8500.0,8,110,0.0,49.66
39.91,51.21,1.73,846.5,55.35,35.66,42.44,48.29,8500.0,14,133,4.0,62.27
41.44,56.57,1.67,811.71,65.42,37.81,43.96,61.5,4200.0,14,100,4.0,69.03
38.84,59.1,2.43,689.38,57.42,35.22,40.6,84.62,9200.0,9,157,0.0,66.32
44.02,56.39,2.38,997.09,76.38,40.21,46.47,61.52,9200.0,12,90,2.0,74.91
28.15,81.22,1.82,0.0,32.68,26.32,28.19,44.63,8500.0,18,152,0.0,37.98
26.06,89.14,4.48,41.26,28.16,25.11,25.96,58.81,9200.0,6,113,0.0,36.61
32.1,62.0,4.9,479.63,37.94,28.64,32.59,69.25,3100.0,16,102,0.0,47.0
28.26,86.12,6.21,38.83,33.85,26.97,27.69,71.04,3100.0,19,100,0.0,40.64
26.0,76.84,0.81,44.92,27.55,23.94,26.43,45.94,9200.0,3,140,0.0,34.37
29.45,81.61,1.6,0.0,36.44,27.63,29.54,74.2,4900.0,4,106,0.0,42.83
28.88,86.85,1.83,41.19,35.93,27.7,29.16,43.33,4200.0,22,171,0.0,41.65
26.0,77.15,0.99,0.0,27.56,23.82,26.14,71.44,9200.0,6,175,0.0,33.71
42.92,47.45,2.26,1042.25,62.68,37.92,45.5,41.29,4900.0,12,113,2.0,70.53
42.93,55.54,3.18,827.12,70.65,38.53,44.46,79.6,4900.0,14,108,4.0,72.26
39.23,48.24,3.82,905.02,51.15,34.05,40.64,77.2,3100.0,10,126,0.0,63.85
29.46,90.51,1.92,0.0,38.86,28.55,29.51,60.01,4200.0,3,174,0.0,43.72
44.62,41.53,2.77,1003.67,63.04,38.11,46.67,60.7,9200.0,12,97,2.0,71.82
29.88,81.63,1.38,0.0,37.74,28.04,30.01,40.1,3100.0,6,117,0.0,41.17
29.49,87.61,3.09,0.0,38.13,28.28,29.28,43.69,9200.0,18,94,0.0,40.69
29.1,78.78,2.48,4.03,34.74,26.99,29.03,72.57,8500.0,21,106,0.0,40.93
26.21,85.54,2.29,0.0,28.36,24.85,26.21,58.69,9200.0,1,125,0.0,36.55
38.43,60.42,1.25,670.69,56.85,35.48,40.87,45.0,3100.0,9,108,0.0,61.68
39.83,53.05,3.38,964.06,56.43,35.5,41.62,59.7,4900.0,12,153,2.0,65.36
27.52,79.1,2.51,56.44,30.81,25.59,27.7,68.91,8500.0,20,100,0.0,38.5
28.44,81.02,7.76,0.0,33.42,26.58,27.38,48.77,3100.0,5,143,0.0,35.21
40.54,50.63,1.0,949.16,57.05,37.06,43.93,77.02,3100.0,11,134,1.0,69.59
41.18,46.53,2.32,935.16,56.04,35.98,43.48,62.27,8500.0,11,136,1.0,66.52
28.27,85.39,2.87,33.75,33.74,26.92,28.3,39.18,9200.0,19,101,0.0,39.02
40.74,52.89,1.58,800.4,59.53,36.65,43.27,45.27,9200.0,10,110,0.0,65.75
27.24,89.23,2.46,47.94,31.32,26.31,27.43,78.0,4900.0,22,100,0.0,42.86
32.1,81.59,3.02,0.0,45.42,30.2,31.82,73.22,3100.0,6,94,0.0,48.52
28.25,96.0,1.91,0.0,35.75,27.9,28.32,72.37,4900.0,0,170,0.0,45.2
29.43,88.89,1.51,0.0,38.29,28.36,29.56,78.7,9200.0,0,145,0.0,47.38
28.56,79.91,1.61,0.0,33.52,26.58,28.63,74.15,4200.0,19,109,0.0,42.21
41.28,50.06,2.5,932.15,59.13,36.55,43.47,74.0,4900.0,12,130,2.0,69.01
34.09,68.36,1.08,544.25,46.25,32.19,36.26,35.04,3100.0,8,135,0.0,52.45
26.0,83.29,4.06,0.0,27.79,24.42,25.76,72.79,3100.0,2,101,0.0,35.22
31.42,76.96,0.5,82.49,41.16,29.39,32.25,74.17,4900.0,6,159,0.0,48.47
26.93,85.57,2.73,80.62,30.1,25.7,27.2,38.09,4900.0,5,106,0.0,34.68
31.93,68.26,4.41,271.57,39.59,28.94,32.1,70.9,8500.0,7,108,0.0,45.77
38.0,69.52,0.95,464.72,62.15,35.9,40.1,51.7,9200.0,8,115,0.0,62.03
27.82,81.63,3.47,26.18,31.88,26.08,27.71,61.98,9200.0,4,137,0.0,37.62
29.47,86.7,1.03,0.0,37.84,28.18,29.7,41.44,4200.0,0,141,0.0,42.64
28.78,91.69,4.3,0.0,36.73,28.0,28.38,78.82,8500.0,18,159,0.0,44.85
36.36,62.1,1.68,637.0,50.54,33.46,38.43,83.82,9200.0,9,144,0.0,62.16
41.69,44.75,7.01,932.64,56.28,35.35,41.24,62.04,3100.0,11,164,1.0,62.64
29.1,76.68,3.32,0.0,34.29,26.77,28.82,47.47,9200.0,23,122,0.0,38.59
38.6,58.33,5.41,840.99,55.96,34.64,39.17,41.27,3100.0,14,151,4.0,59.39
28.14,88.04,3.36,11.15,33.84,27.02,28.0,33.65,4200.0,21,177,0.0,37.91
27.54,89.33,1.98,0.0,32.22,26.53,27.58,80.8,4900.0,23,112,0.0,42.79
37.27,68.97,2.22,461.24,58.57,34.64,38.62,68.59,9200.0,8,104,0.0,61.07
29.18,85.37,2.43,0.0,36.52,27.75,29.11,79.66,3100.0,19,116,0.0,44.74
31.85,64.71,0.5,496.48,38.19,30.18,34.23,75.68,4200.0,16,164,0.0,51.22
33.36,65.51,1.5,442.94,42.66,30.67,34.99,80.75,9200.0,16,153,0.0,55.38
27.38,88.08,0.96,17.11,31.58,26.3,27.7,41.83,3100.0,19,170,0.0,39.01
42.16,40.0,4.31,881.13,54.12,35.15,43.03,32.01,4200.0,11,140,1.0,61.8
26.51,78.58,1.69,0.0,28.59,24.46,26.56,78.19,9200.0,6,142,0.0,36.06
31.34,89.64,3.13,0.0,45.96,30.33,31.09,36.53,9200.0,1,167,0.0,47.04
26.0,86.03,4.11,22.77,27.89,24.73,25.87,39.29,8500.0,2,171,0.0,33.72
35.55,67.58,1.48,496.55,50.95,33.13,37.37,71.0,8500.0,16,140,6.0,59.27
27.28,80.88,0.94,15.08,30.47,25.48,27.57,82.78,4200.0,4,136,0.0,40.81
34.11,62.3,7.21,430.01,43.49,30.38,33.54,39.07,4900.0,16,93,0.0,44.36
29.97,79.09,2.91,0.0,37.31,27.86,29.76,46.35,4200.0,23,96,0.0,40.22
33.48,65.0,1.02,520.65,42.81,31.19,35.6,38.01,9200.0,16,124,0.0,51.13
33.2,72.41,0.83,436.45,45.19,31.68,35.19,47.63,3100.0,16,137,0.0,52.1
28.12,81.82,2.08,49.16,32.7,26.45,28.36,37.49,4200.0,1,162,0.0,35.88
28.34,84.05,0.5,110.75,33.68,27.26,29.23,75.94,8500.0,1,161,0.0,45.17
28.75,86.44,1.48,0.0,35.42,27.44,28.88,59.14,8500.0,21,134,0.0,43.0
27.6,79.6,5.95,79.97,31.07,25.72,27.25,81.42,9200.0,22,170,0.0,39.59
26.01,88.9,4.95,0.0,28.01,24.98,25.66,59.42,4900.0,4,170,0.0,34.9
27.87,77.15,4.36,31.68,31.36,25.67,27.6,73.03,8500.0,0,161,0.0,37.41
27.29,82.33,3.48,0.0,30.65,25.59,27.07,69.3,4900.0,0,108,0.0,38.65
29.87,85.16,3.17,5.37,38.73,28.41,29.66,73.29,3100.0,18,152,0.0,44.69
30.0,92.47,4.02,0.0,41.53,29.29,29.6,36.43,8500.0,1,127,0.0,43.46
26.0,83.07,3.66,0.0,27.78,24.4,25.81,77.69,8500.0,20,156,0.0,35.56
43.06,47.76,2.97,875.56,63.46,37.54,44.76,38.21,3100.0,11,148,1.0,66.9
29.2,80.67,5.52,0.0,35.46,27.28,28.49,66.66,9200.0,5,158,0.0,40.05
26.78,86.46,0.89,0.0,29.8,25.5,26.98,73.03,3100.0,22,102,0.0,40.49
27.23,81.84,5.51,29.0,30.46,25.52,26.82,76.33,4900.0,3,136,0.0,36.46
29.71,91.76,5.67,0.0,40.19,28.93,28.97,74.19,9200.0,22,150,0.0,44.96
40.85,55.35,8.5,863.94,62.01,36.09,39.67,40.04,3100.0,10,120,0.0,61.72
27.94,88.08,2.24,0.0,33.22,26.8,27.93,37.92,4200.0,23,169,0.0,38.94
34.3,75.57,2.52,485.92,50.85,32.58,35.64,59.01,4200.0,16,111,0.0,56.37
27.85,83.71,2.19,0.0,32.27,26.27,27.83,72.08,9200.0,5,175,0.0,42.08
27.58,78.92,3.88,0.0,30.93,25.53,27.27,73.15,4200.0,23,132,0.0,38.28
28.58,79.23,3.34,0.0,33.44,26.53,28.32,80.91,4900.0,4,156,0.0,39.78
27.32,88.59,2.22,7.35,31.48,26.26,27.37,70.76,9200.0,19,143,0.0,40.95
26.11,84.08,3.93,0.0,28.06,24.61,25.89,44.02,4900.0,1,99,0.0,33.28
28.35,90.21,8.5,34.45,34.93,27.46,27.34,64.23,3100.0,5,131,0.0,41.54
26.19,85.52,1.54,0.57,28.3,24.83,26.29,80.97,3100.0,21,153,0.0,39.52
37.34,51.5,1.05,833.45,47.54,33.89,40.32,79.95,3100.0,10,110,0.0,63.69
38.56,67.34,0.82,664.71,62.79,36.93,41.37,62.25,8500.0,15,169,5.0,67.44
37.06,58.2,4.14,641.21,50.54,33.06,37.89,77.18,8500.0,15,165,5.0,58.1
31.71,78.44,1.04,0.0,42.68,29.48,31.94,69.61,4200.0,0,155,0.0,45.55
31.19,66.33,1.8,506.86,37.01,28.77,32.87,64.39,8500.0,8,130,0.0,48.15
27.1,81.2,1.7,0.0,30.09,25.29,27.17,59.79,8500.0,5,113,0.0,36.9
40.11,58.11,1.23,685.02,61.47,36.77,42.62,58.86,9200.0,15,124,5.0,66.65
28.25,82.83,1.66,0.0,33.23,26.58,28.33,39.84,9200.0,2,145,0.0,37.53
29.73,83.85,3.67,0.0,37.89,28.13,29.38,39.52,4200.0,19,119,0.0,40.47
26.13,88.43,2.81,14.47,28.31,25.08,26.16,38.96,4900.0,3,146,0.0,35.18
27.53,87.22,0.5,0.0,31.9,26.31,27.81,36.89,9200.0,18,136,0.0,39.26
26.51,77.05,0.5,8.38,28.5,24.34,26.81,76.32,8500.0,2,124,0.0,36.59
28.26,90.21,2.33,0.0,34.63,27.33,28.24,40.04,3100.0,18,108,0.0,39.28
27.95,75.92,1.87,0.0,31.38,25.58,27.97,68.87,9200.0,19,97,0.0,38.68
26.78,77.38,2.57,4.29,29.05,24.61,26.74,37.04,3100.0,6,115,0.0,32.55
26.0,92.55,1.93,0.0,28.13,25.32,26.07,43.15,4900.0,19,160,0.0,36.74
33.17,62.16,2.52,476.18,40.76,29.9,34.44,34.53,9200.0,8,119,0.0,47.83
29.88,86.21,5.15,0.0,39.08,28.52,29.21,46.59,4200.0,0,96,0.0,40.74
29.88,71.38,5.49,217.43,35.08,27.23,29.78,39.43,9200.0,7,156,0.0,37.4
28.07,85.76,6.43,0.0,33.21,26.69,27.3,36.03,4900.0,6,154,0.0,34.52
30.19,80.52,4.32,268.02,38.41,28.62,30.52,46.35,4200.0,17,125,0.0,42.8
32.94,81.15,1.1,259.91,48.51,31.72,34.26,68.27,9200.0,7,114,0.0,54.71
29.2,87.69,5.96,0.0,37.17,28.01,28.43,70.23,4900.0,0,126,0.0,41.16
43.05,48.21,1.69,939.81,63.86,38.25,45.83,69.02,4900.0,10,90,0.0,71.92
32.62,72.31,5.4,156.94,43.25,29.88,32.16,36.45,8500.0,17,104,0.0,44.07
26.0,80.05,3.91,0.0,27.67,24.11,25.77,70.2,3100.0,22,126,0.0,33.98
37.94,57.25,1.07,646.33,52.88,34.67,40.42,45.62,4900.0,9,102,0.0,60.23
29.11,86.4,1.69,0.0,36.55,27.79,29.19,64.9,3100.0,2,97,0.0,43.44
27.04,86.38,4.17,5.18,30.46,25.75,26.77,40.72,8500.0,6,94,0.0,36.27
40.38,64.34,1.47,673.25,68.17,37.7,42.72,41.28,9200.0,15,149,5.0,66.85
37.58,58.68,2.49,692.66,52.6,33.98,39.32,76.96,4900.0,15,162,5.0,62.13
29.43,82.86,1.22,3.5,36.69,27.75,29.63,45.52,8500.0,19,90,0.0,41.49
35.73,69.44,2.18,449.3,52.75,33.22,37.09,40.05,8500.0,16,125,6.0,55.56
27.41,79.76,2.57,22.6,30.64,25.49,27.45,44.98,4200.0,1,124,0.0,35.15
29.52,87.98,1.31,4.12,38.36,28.37,29.73,55.06,4200.0,0,155,0.0,45.3
34.7,65.23,7.39,657.76,46.71,31.54,34.49,61.39,3100.0,15,152,0.0,52.26
38.26,53.16,3.64,873.68,51.3,33.89,39.76,32.85,3100.0,11,112,1.0,58.15
28.05,82.13,3.59,10.28,32.55,26.32,27.84,45.35,8500.0,4,98,0.0,37.08
30.08,88.32,0.87,16.35,40.48,28.99,30.47,57.55,9200.0,4,123,0.0,46.67
26.93,88.9,2.17,0.0,30.44,25.89,26.95,70.87,3100.0,22,135,0.0,40.3
32.59,69.31,2.53,435.06,41.9,30.12,33.79,42.87,3100.0,8,167,0.0,48.29
32.88,64.18,5.93,443.12,40.76,29.53,32.91,38.12,9200.0,8,93,0.0,44.67
28.55,81.01,3.02,0.0,33.71,26.69,28.37,39.92,3100.0,2,119,0.0,36.86
26.15,79.26,1.42,45.6,27.93,24.29,26.49,59.49,3100.0,18,164,0.0,35.57
35.73,61.26,1.57,630.24,47.96,32.79,37.84,42.43,3100.0,15,161,5.0,54.74
37.14,58.14,2.3,709.55,50.77,33.59,39.03,78.41,3100.0,15,92,5.0,59.99
27.24,87.01,1.1,0.0,31.06,26.0,27.41,41.93,4200.0,2,103,0.0,38.27
29.31,88.31,3.93,88.08,37.72,28.31,29.3,76.93,9200.0,19,149,0.0,44.04
28.01,88.45,0.73,0.0,33.51,26.91,28.27,80.56,9200.0,23,166,0.0,44.08
28.6,85.16,3.46,10.64,34.66,27.17,28.4,61.57,8500.0,21,134,0.0,40.61
32.3,85.72,1.79,0.0,48.14,30.85,32.37,34.72,9200.0,23,123,0.0,47.69
